drugname,n,category,group
Ciprofloxacin 400 mg/D5w 200 ml (ml/hr),2,,
cisatracurium Volume (ml),2,,
cleocin (ml/hr),2,,
Dilaudid,2,,
EKOS-coolant (ml/hr),2,,
EKOS-main (ml/hr),2,,
Epidural,2,,
Epidural Fent/Bupiv (ml/hr),2,,
epidural; fentanyl/lido/duramorph,2,,
Eptifibatide (Integrilin) 75 mg  100 ml  Premix (mg/hr),2,,
Eptifibatide (mg/hr),2,,
Eraxis (ml/hr),2,,
Fent PCA Mode (ml/hr),2,,
FERRIC GLUC (ml/hr),2,,
FFP Unit 2 (ml/hr),2,,
flolan (nanograms/kg/min),2,,
Fluid bolus....NS (ml/hr),2,,
glucogon (ml/hr),2,,
"Heparin 25,000 Unit/D5w 250 ml (ml/hr)",2,,
hypertonic NS 3% (ml/hr),2,,
Integrilin (ml/hr),2,,
Iron (ml/hr),2,,
Iv + MVI (ml/hr),2,,
IV w/ 75mEq Bicarb (ml/hr),2,,
IVABx (ml/hr),2,,
IVC (ml/hr),2,,
IVF # 2 (ml/hr),2,,
IVF + KCL (ml/hr),2,,
IVF Banana bag (ml/hr),2,,
ivf bolus (ml/hr),2,,
IVF Bolus (ml/hr),2,,
IVF NSS,2,,
IVF W/O Additives (ml/hr),2,,
ivf with bicarb (ml/hr),2,,
ivf WITH mvi (ml/hr),2,,
IVFluid (ml/hr),2,,
IVFmaintenance (ml/hr),2,,
IVM (ml/hr),2,,
IVPB's (ml/hr),2,,
K  ACETATE RIDER (ml/hr),2,,
kcl (ml/hr),2,,
KCL 20 meq in NS,2,,
kcl 40 meq,2,,
kcl 40 meq (ml/hr),2,,
keppra (ml/hr),2,,
Ketamine (mg/kg/min),2,,
KPhos (ml/hr),2,,
L-CARTINE (ml/hr),2,,
LEVAQUIN (ml/hr),2,,
Levophed (mcg/kg/min),2,,
levoquin 750 (ml/hr),2,,
Lidocaine (mg/kg/hr),2,,
Lipids,2,,
LR /30meq KCL (ml/hr),2,,
LR 20K,2,,
LR Bolus,2,,
LR Bolus (ml/hr),2,,
LR fluid bolus (ml/hr),2,,
LR w/Anbx (ml/hr),2,,
LR with 10 K (ml/hr),2,,
LR with Kcl (ml/hr),2,,
MAG DRIP (ml/hr),2,,
Magnesium Sulfate STD 2 g Sterile Water (SWFI) 100 ml  Premix (Unknown),2,,
manitol (ml/hr),2,,
Mannitol 20%,2,,
Methylprednisone (ml/hr),2,methylpredisolone,glucocorticoid
MIV w/40 KCL (ml/hr),2,,
MIV/thiamine/folic (ml/hr),2,,
MS (mg/hr),2,,
MSO4 (mg/hr),2,,
MSO4 (ml/hr),2,,
MSO4-PCA (ml/hr),2,,
MUCOMYST (ml/hr),2,,
mucumyst (ml/hr),2,,
MVI,2,,
mvi (ml/hr),2,,
MVI 10ml+Thiamine 100mg+Folic Acid 1mg,2,,
"MVI, thiamine, folic (ml/hr)",2,,
Mycomyst-Bag #2 (ml/hr),2,,
nabicarb (ml/hr),2,,
Nitroglycerin (mcg/hr),2,,
normal saline w/ 20KCL (ml/hr),2,,
NS ,2,,
"Ns + KCl 20 Meq 1,000 ml (ml/hr)",2,,
NS 0.45% (ml/hr),2,,
NS 1L BOLUS (ml/hr),2,,
NS bolus,2,,
NS to RLE (ml/hr),2,,
NS w/ 150mEq Bicarb (ml/hr),2,,
NS with 20KCl  (ml/hr),2,,
NS with Mag and k Phos (ml/hr),2,,
NS/30KCL (ml/hr),2,,
NS+50MEQ HCO3 (ml/hr),2,,
NSc20mEq KCL (ml/hr),2,,
NSS + MVI  (ml/hr),2,,
NSS W/ mvi,2,,
NSS w/Abx,2,,
Oxycotin (ml/hr),2,,
Oxytocin (units/hr),2,,
Pantoprazole (mcg/kg/hr),2,,
PCN (ml/hr),2,,
PIV (ml/hr),2,,
PLTs (ml/hr),2,,
Potassium chloride (ml/hr),2,,
Potassium Chloride 20 Meq/50Ml 50 ml (ml/hr),2,,
Potassium Chloride 20Meq/100Ml 100 ml (ml/hr),2,,
Potassium Phos (ml/hr),2,,
PPN,2,,
pRBC,2,,
PRBC (Blood) (ml/hr),2,,
PRBCs #2 (ml/hr),2,,
prbcs (ml/hr),2,,
pRBCs (ml/hr),2,,
Procainamide (mcg/kg/min),2,,
Prograf drip,2,,
propofol (mcg/min),2,,
Propofol (mg/min),2,,
PROTONIX,2,,
RBC'S (ml/hr),2,,
Reopro (mcg/kg/min),2,,
SALINE LOCK (ml/hr),2,,
Sodium Biacrb (ml/hr),2,,
Sodium Bicarb 150meg /1Liter D5W (ml/hr),2,,
SODIUM BICARBONATE / 0.45%NS,2,,
SODIUM CHLORIDE (ml/hr),2,,
solumedrol (mg/hr),2,,
sterile H2O w/150meq bicarb (ml/hr),2,,
Synthroid,2,,
Thiamin/MVI (ml/hr),2,,
Thiamine Inj 100 mg in Dextrose 5% 50 ml (ml/hr),2,,
Tirofiban,2,,
tpa,2,,
tPa (mg/hr),2,,
t-PA (mg/hr),2,,
VancoMycin (ml/hr),2,,
Vancomycin 1 gm/Dextrose 200 ml (ml/hr),2,,
Vancomycin 1500mg/250ml (ml/hr),2,,
vf (ml/hr),2,,
Volume (mL) Immune Globulin (Human),2,,
"Volume (mL)-sodium chloride 0.9 % bolus 2,000 mL",2,,
Volume-Transfuse platelet pheresis (ml/hr),2,,
D10 NS,3,dextrose-10,iv-sugar
D10NS,3,dextrose-10,iv-sugar
D10W.45NS (ml/hr),3,dextrose-10,iv-sugar
dextrose 10% (ml/hr),3,dextrose-10,iv-sugar
D30W/85 meq KCL/60 units insulin (ml/hr),3,dextrose-30,iv-sugar
D.45NS (ml/hr),3,dextrose-5,iv-sugar
D5 .9 NSS,3,dextrose-5,iv-sugar
D5 0.2%NSS (ml/hr),3,dextrose-5,iv-sugar
D5 0.45 50meq (ml/hr),3,dextrose-5,iv-sugar
D5 0.45% NS + 40mEq K (ml/hr),3,dextrose-5,iv-sugar
D5 1/2,3,dextrose-5,iv-sugar
D5 1/2 NS w/K (ml/hr),3,dextrose-5,iv-sugar
D5 1/2 Nss  (ml/hr),3,dextrose-5,iv-sugar
D5 1/2 NSS w/ 40 meq KCL,3,dextrose-5,iv-sugar
D5 1/2NS w/  20KCL (ml/hr),3,dextrose-5,iv-sugar
D5 1/2NS w/40 mEq K (ml/hr),3,dextrose-5,iv-sugar
D5 1/2nss,3,dextrose-5,iv-sugar
D5 1/2NSS w 75meq HCO3 (ml/hr),3,dextrose-5,iv-sugar
D5 1/2NSS w/40meq KCL (ml/hr),3,dextrose-5,iv-sugar
D5 Barcrbonate (150 meq) (ml/hr),3,dextrose-5,iv-sugar
D5 LR w/ 40 k (ml/hr),3,dextrose-5,iv-sugar
D5 LR w/40KCL (ml/hr),3,dextrose-5,iv-sugar
D5 N,3,dextrose-5,iv-sugar
D5 NS,3,dextrose-5,iv-sugar
D5 w 100meq Bicarb (ml/hr),3,dextrose-5,iv-sugar
D5 w/ 150 mEq HCO3,3,dextrose-5,iv-sugar
D5 with 150 meq NAHCO3 (ml/hr),3,dextrose-5,iv-sugar
D5& 0.9NS with MVI (ml/hr),3,dextrose-5,iv-sugar
D5.45 NS,3,dextrose-5,iv-sugar
D5.45 W/20K (ml/hr),3,dextrose-5,iv-sugar
D5.45NS with 20meg kcl/l (ml/hr),3,dextrose-5,iv-sugar
d5.45ns with 20meq kcl (ml/hr),3,dextrose-5,iv-sugar
D5.45NSw/20KCl (ml/hr),3,dextrose-5,iv-sugar
D5.9NSS,3,dextrose-5,iv-sugar
D5/.9NS (ml/hr),3,dextrose-5,iv-sugar
D5/0.9%NS,3,dextrose-5,iv-sugar
D5/Na Bicarb (ml/hr),3,dextrose-5,iv-sugar
D5+150meqNaHco3  (ml/hr),3,dextrose-5,iv-sugar
D51/2 Saline (ml/hr),3,dextrose-5,iv-sugar
d51/2ns,3,dextrose-5,iv-sugar
D51/2NS/20KCL (ml/hr),3,dextrose-5,iv-sugar
D51/2nss with 40 kcl (ml/hr),3,dextrose-5,iv-sugar
D5HCO3,3,dextrose-5,iv-sugar
D5LR,3,dextrose-5,iv-sugar
D5LR W/ 10KCL (ml/hr),3,dextrose-5,iv-sugar
D5NS w/40KCL (ml/hr),3,dextrose-5,iv-sugar
d5ns+2amps sodium bicarb,3,dextrose-5,iv-sugar
D5NSS,3,dextrose-5,iv-sugar
D5RL,3,dextrose-5,iv-sugar
D5W + MVI (ml/hr),3,dextrose-5,iv-sugar
D5W 0.45%NACL+40MEK KCL,3,dextrose-5,iv-sugar
D5W 1 amp Bicarb,3,dextrose-5,iv-sugar
D5W w/ 40 meq KCL (ml/hr),3,dextrose-5,iv-sugar
D5W with 150 mEq Bicarb (ml/hr),3,dextrose-5,iv-sugar
D5W WITH 20MEQ KCL (ml/hr),3,dextrose-5,iv-sugar
D5W/.45% NS + 20 mEq K (ml/hr),3,dextrose-5,iv-sugar
D5W/.9%NS (ml/hr),3,dextrose-5,iv-sugar
D5W/0.45% NS (ml/hr),3,dextrose-5,iv-sugar
D5W/0.9% NS (ml/hr),3,dextrose-5,iv-sugar
D5W/150mEq Bicarb (ml/hr),3,dextrose-5,iv-sugar
D5W/3 Amp BiCarb (ml/hr),3,dextrose-5,iv-sugar
D5W/3amps HCO3 (ml/hr),3,dextrose-5,iv-sugar
D5W/40meqKCL (ml/hr),3,dextrose-5,iv-sugar
D5wNaHCO3150 (ml/hr),3,dextrose-5,iv-sugar
"Dextrose 5%/0.45% Sod Chl 1,000 ml (ml/hr)",3,dextrose-5,iv-sugar
Volume (mL)-dextrose 5 % and 0.45% NaCl 5-0.45 % bolus 100 mL (ml/hr),3,dextrose-5,iv-sugar
Volume (mL)-dextrose 5 % and 0.45% NaCl 5-0.45 % bolus 75 mL (ml/hr),3,dextrose-5,iv-sugar
Dopamine (mcg/min),3,dopamine,adrenergic-agent
Epinephrine (mcg/hr),3,epinephrine,adrenergic-agent
EPINEPHrine(Adrenalin)STD 4 mg Sodium Chloride 0.9% 500 ml (mcg/min),3,epinephrine,adrenergic-agent
Fentanyl epidural (ml/hr),3,fentanyl,opioid
Glucagon  (ml/hr),3,glucagon,glucagon
morphine PCA (ml/hr),3,morphine,opiod
Narcan (mcg/hr),3,naloxone,naloxone
narcan (units/kg/hr),3,naloxone,naloxone
Vasopressin (mcg/kg/min),3,vasopressin,antidiuretic
0.90%,3,,
 (mcg/kg/hr),3,,
 NaHCO3 (ml/hr),3,,
.45%NS + 150meq bicarb (ml/hr),3,,
.45NSS,3,,
.9NS100wGlucagon10mg. (ml/hr),3,,
0.3% Sodium Chloride,3,,
0.45 % NS (ml/hr),3,,
0.45 NS w/40MEQ KCL (ml/hr),3,,
0.45 NS/Sodium Bicarbonate 5meq (ml/hr),3,,
0.45% NS,3,,
0.45% NS w/ 150 meq HCO3 (ml/hr),3,,
0.45% NS w/ 40 Meq K (ml/hr),3,,
0.45% NS w/40 mEq K,3,,
0.45% NSS with 75 mEq bicarb (ml/hr),3,,
0.5NSS w 150mEq bicarb (ml/hr),3,,
0.9% NS + 20 MEQ KCL (ml/hr),3,,
0.9%NS with ABx,3,,
1/2 NS,3,,
1/2NS + KCL 40meq (ml/hr),3,,
1/2NSS+potassium (ml/hr),3,,
2%NaCl (ml/hr),3,,
3% Hypertonic Saline,3,,
3%Na (ml/hr),3,,
3%NaCL (ml/hr),3,,
Abciximab,3,,
Abciximab (mg/min),3,,
Abciximab (Reopro) 7.2 mg Sodium Chloride 0.9% 250 ml (mcg/min),3,,
abt (ml/hr),3,,
ABx (ml/hr),3,,
Abx/ AntiMicrobials (ml/hr),3,,
acetylcysteine (mcg/kg/hr),3,,
Acetylcysteine (units/kg/hr),3,,
acetylcystine (mcg/kg/hr),3,,
Acetylcystine (ml/hr),3,,
albumin  (ml/hr),3,,
ALbumin (ml/hr),3,,
ALBUMIN/BUMEX (ml/hr),3,,
Alteplase (mg/kg/hr),3,,
Amicar  (mg/hr),3,,
aminocaproic acid (ml/hr),3,,
amiodarone,3,,
Ampicillin (ml/hr),3,,
Angiomax (mg/kg/min),3,,
argatroban (),3,,
ativan (mg/hr),3,,
ATRACURIUM (mg/kg/min),3,,
azithromycin (ml/hr),3,,
bactrum  (ml/hr),3,,
bcarb (ml/hr),3,,
Bic (ml/hr),3,,
BiCarb  (ml/hr),3,,
Bicarb (3-amps ) (ml/hr),3,,
bicarb 150 meq (ml/hr),3,,
bicarb 3amps + k (ml/hr),3,,
Bicarbonate 150mEq,3,,
bivalirudin (mg/kg/hr),3,,
Blood product (ml/hr),3,,
Bumetanide (mg/min),3,,
Cefazolin 2 gm/D5w 50 ml (ml/hr),3,,
Ciprofloxacin 200 mg/D5w 100 ml (ml/hr),3,,
Cisplatinum (ml/hr),3,,
cooled NSS (ml/hr),3,,
CRRT Replacement Fluid mL/hr (ml/hr),3,,
cryo (ml/hr),3,,
CRYO (ml/hr),3,,
cytarabine (ml/hr),3,,
Dexmedetomidine Inj 400 Mcg in Dextrose 5% 100 ml (),3,,
dextran 40 (ml/hr),3,,
Diamox (ml/hr),3,,
Dilaudid/PCA (ml/hr),3,,
Dilaudid-PCA (ml/hr),3,,
epidural,3,,
epidural  (ml/hr),3,,
Epidural fent/bup (ml/hr),3,,
Epidural ropivacaine (ml/hr),3,,
Epinepherine (mcg/min),3,,
Esmolol (Unknown),3,,
Esomeprazole (mg/min),3,,
Fent/Bup Epidural (ml/hr),3,,
Flolan (ml/hr),3,,
"Folic Acid Inj 5 mg Multivitamins-12 Inj 20 ml Thiamine Inj 200 mg Magnesium Sulfate Inj 4 gm in Sodium Chloride 0.9% 1,000 ml (ml/hr)",3,,
Free water NGT (ml/hr),3,,
Furosemide (Lasix) MAX 500 mg Sodium Chloride 0.9% 100 ml (mg/hr),3,,
HCO-3 (ml/hr),3,,
ICVF (ml/hr),3,,
Integrilin (mcg/kg/hr),3,,
iron (ml/hr),3,,
IV Bicarb (ml/hr),3,,
iv fluid (ml/hr),3,,
IV Fluids (ml/hr),3,,
ivf,3,,
IVF Bolus without additives (ml/hr),3,,
IVF w/ 1 amp NaHCO3 (ml/hr),3,,
IVF w/KCL (ml/hr),3,,
IVF withOut VasoActives (ml/hr),3,,
IVIG,3,,
K PHOS (ml/hr),3,,
kcl rider (ml/hr),3,,
ketamine,3,,
ketamine (),3,,
kRYDER (ml/hr),3,,
KVO  (ml/hr),3,,
Left  Heparin (units/hr),3,,
levothyroxine (ml/hr),3,,
Lidocaine (mcg/kg/min),3,,
LR w/ 20KCL (ml/hr),3,,
LR w/ 50cc dextrose (ml/hr),3,,
LR w/ KCL,3,,
LR/ 20 mEq KCl,3,,
Magnesium sulfate (mg/hr),3,,
Mannitol gtt(100gm/500mL) 50 g Dextrose 5% 500 ml (Unknown),3,,
Micafungin/Ns  100 mg/ 100 ml 100 ml (ml/hr),3,,
MIF (ml/hr),3,,
mucomyst (mcg/kg/hr),3,,
MVi (ml/hr),3,,
MVI/Thiamine gtt,3,,
NABICARB (ml/hr),3,,
NaCHO3 (ml/hr),3,,
NaHCO3  150 meq (ml/hr),3,,
NEO-SYNEPHRINE (mcg/min),3,,
Nesiritide (BNP) (),3,,
nimbex (mg/kg/hr),3,,
Nitroprusside (mg/hr),3,,
NS - PCA,3,,
NS (w/blood) (ml/hr),3,,
NS + 40KCL (ml/hr),3,,
NS + BICARB,3,,
NS + KCL (ml/hr),3,,
NS Bolus (total ml) (ml/hr),3,,
NS W/ 20 K+ (ml/hr),3,,
NS with 40K (ml/hr),3,,
NS with antibiotics (ml/hr),3,,
NS/2 amps bicarb MIV  (ml/hr),3,,
NSS ,3,,
NSS +abx,3,,
NSS w bicarb,3,,
nss/abx,3,,
Octreotide (mcg/min),3,,
Other Med 20 Units Sodium Chloride 0.9% 2000 ml (units/hr),3,,
PCA Dilaudid (),3,,
PCA/Dilaudid (ml/hr),3,,
PCA-MS04 (ml/hr),3,,
Pentobarbital,3,,
Phenylephrine (mg/hr),3,,
PLATELETS (ml/hr),3,,
plt (ml/hr),3,,
Potassium Chloride Bolus 100 Each (ml/hr),3,,
Potassium CL (Peripheral) 10 mEq Sterile Water (SWFI) 200 ml  Premix (Unknown),3,,
prbc's (ml/hr),3,,
precedex  (mcg/kg/hr),3,,
Privigen  (ml/hr),3,,
Propofol (mg/kg/hr),3,,
propofol (ml/hr),3,,
PROTONIX (units/hr),3,,
RBC/Flush (ml/hr),3,,
RBCS (ml/hr),3,,
reopro (mcg/kg/min),3,,
Replete,3,,
Rituxan (ml/hr),3,,
rituximab (mg/hr),3,,
S- IVF (ml/hr),3,,
S-Heparin (units/hr),3,,
sod bicarb (ml/hr),3,,
sodiu bicarbonate (ml/hr),3,,
SODIUM BICARBONATE 150 MEQ,3,,
sodium bicarg gtt (ml/hr),3,,
sterile water with bicarb (ml/hr),3,,
Theophylline (mg/kg/hr),3,,
TPA  (ml/hr),3,,
TPA flush (NSS) (ml/hr),3,,
"Vancomycin Inj 1,250 mg in Dextrose 5% 250 ml (ml/hr)",3,,
Vecuronium,3,,
Volume (mL) Tenecteplase,3,,
"Volume (mL)-sodium chloride 0.45 % bolus 1,000 mL (ml/hr)",3,,
"Volume (mL)-sodium chloride 0.9 % bolus 1,500 mL (ml/hr)",3,,
Zosyn  (ml/hr),3,,
bolus insulin (units/hr),4,bolus-insulin,insulin
D10 0.2 NS (ml/hr),4,dextrose-10,iv-sugar
D10 0.9%NS (ml/hr),4,dextrose-10,iv-sugar
D15% (ml/hr),4,dextrose-15,iv-sugar
D20 (ml/hr),4,dextrose-20,iv-sugar
D5 .45,4,dextrose-5,iv-sugar
D5 0.45%NS  (ml/hr),4,dextrose-5,iv-sugar
D5 0.9%NS (ml/hr),4,dextrose-5,iv-sugar
D5 1/2 c 150 mEq Bicarb,4,dextrose-5,iv-sugar
D5 1/2 NS + KCl  (ml/hr),4,dextrose-5,iv-sugar
D5 1/2NS,4,dextrose-5,iv-sugar
D5 1/2NS w/40mEq KCL (ml/hr),4,dextrose-5,iv-sugar
d5 1/2NSS w/ 40meq KCL (ml/hr),4,dextrose-5,iv-sugar
D5 40K 1/2NS (ml/hr),4,dextrose-5,iv-sugar
D5 LR,4,dextrose-5,iv-sugar
D5 NA Bicarb 150meq (ml/hr),4,dextrose-5,iv-sugar
D5 NSS (ml/hr),4,dextrose-5,iv-sugar
D5 NSS w/ MVI (ml/hr),4,dextrose-5,iv-sugar
D5 w/200 meq Bicarb (ml/hr),4,dextrose-5,iv-sugar
D5 w/3 amps Na Bicarb (ml/hr),4,dextrose-5,iv-sugar
D5/ 0.45% NS/ 75 MEQ sodium bicarb (ml/hr),4,dextrose-5,iv-sugar
D5/.45NSS c MVI (ml/hr),4,dextrose-5,iv-sugar
D5/0.45%NS + MVI (ml/hr),4,dextrose-5,iv-sugar
D5/NSS 0.45% (ml/hr),4,dextrose-5,iv-sugar
D5`1/2NS (ml/hr),4,dextrose-5,iv-sugar
D51/2 NS with 20 meq KCL (ml/hr),4,dextrose-5,iv-sugar
D5-150meq Bicarb (ml/hr),4,dextrose-5,iv-sugar
D5LR w/10mEq KCl (ml/hr),4,dextrose-5,iv-sugar
D5NS+20meq KCL (ml/hr),4,dextrose-5,iv-sugar
D5W + 3amp bicarb (ml/hr),4,dextrose-5,iv-sugar
D5W w/Bicarb (ml/hr),4,dextrose-5,iv-sugar
D5W/ 0.45% NS/ 40 MEQ K (ml/hr),4,dextrose-5,iv-sugar
D5W/3 amps HCO3 (ml/hr),4,dextrose-5,iv-sugar
d5w+3amps na bicarb (ml/hr),4,dextrose-5,iv-sugar
Dopamine (mcg/kg/hr),4,dopamine,adrenergic-agent
NUTREN 1.5,4,enteral-product-intake,nutrition-enteral
EPINEPHrine(Adrenalin)STD 7 mg Sodium Chloride 0.9% 250 ml (mcg/min),4,epinephrine,adrenergic-agent
fentanyl/epidural (ml/hr),4,fentanyl,opioid
HYDROmorphone (mg/hr),4,hydromorphone,opioid
Insulin (Scale B),4,insulin,insulin
insulin drip (units/hr),4,insulin,insulin
Naloxone (mg/hr) (mg/hr),4,naloxone,naloxone
Norepinephrine STD 32 mg Dextrose 5% 282 ml (mcg/min),4,norepinephrine-dextrose-5,adrenergic-agent
Vasopressin 40 Units Sodium Chloride 0.9% 100 ml (Unknown),4,vasopressin,antidiuretic
 folate thiamine drip (ml/hr),4,,
.45ns (ml/hr),4,,
0.45%NS w MVI,4,,
0.9% NaCl,4,,
0.9% nacl,4,,
0.9% NS 20 Meq KCL (ml/hr),4,,
1.8 NaCL (ml/hr),4,,
1.8 nacl (ml/hr),4,,
1.8%  NaCl (ml/hr),4,,
1.8%NaCL (ml/hr),4,,
1/2 NS with 20 mEq KCl,4,,
1/2 nss,4,,
1/2 NSS with 40 meqPotassium (ml/hr),4,,
1/2NS w/20 K (ml/hr),4,,
1L Sterile Water w/150 mEq Bicarb,4,,
25% ALBUMIN (ml/hr),4,,
3% nacl (ml/hr),4,,
3% Nacl (ml/hr),4,,
Acetadote (mg/kg/hr),4,,
albumin,4,,
Albumin w/ Bumex (ml/hr),4,,
Alteplase (Cathflo) (mg/hr),4,,
Alteplase (tPA) Stroke/PE 100 mg Sterile Water (SWFI) 100 ml (mg/hr),4,,
Alteplase 7.5mg/NS 500ml (ml/hr),4,,
Alteplase(tPA)ArteriClot 20 mg Sodium Chloride 0.9% 100 ml (mg/hr),4,,
Amicar (mcg/kg/min),4,,
Aminocaproic Acid (ml/hr),4,,
AMINOPHYLLINE (mg/kg/hr),4,,
angiomax  (ml/hr),4,,
Angiomax (mg/hr),4,,
Argatroban 250 mg Sodium Chloride 0.9% 250 ml (mcg/kg/min),4,,
Bactrim + D5W (ml/hr),4,,
bicarb  (ml/hr),4,,
Blood (FFP) (ml/hr),4,,
BLOOD Products (ml/hr),4,,
BLood products (ml/hr),4,,
bupivacaine epidural (ml/hr),4,,
calcium gluconate (ml/hr),4,,
"Calcium Gluconate 2,000 mg in Sodium Chloride 0.9% 100 ml (ml/hr)",4,,
cardene,4,,
Ceftriaxone 2 gm/D5w 250 ml (ml/hr),4,,
Cipro (ml/hr),4,,
Cisastracurium (mcg/kg/min),4,,
Clevidipine (mcg/min),4,,
clevidipine (ml/hr),4,,
Clindamycin 900 mg/D5w 50 ml (ml/hr),4,,
cyclosporine (ml/hr),4,,
Desferal (ml/hr),4,,
Dextran 40 (10%) (ml/hr),4,,
DILAUDED (mg/hr),4,,
Eptifibatide (Unknown),4,,
Heparin 8000u/1L NS (ml/hr),4,,
Heparin/Femoral Sheath   (units/hr),4,,
Hypertonic 3% NS (ml/hr),4,,
IIVF (ml/hr),4,,
Immune globulin (ml/hr),4,,
Immune Globulin (ml/hr),4,,
integralin (ml/hr),4,,
IV  (ml/hr),4,,
IV + MVI (ml/hr),4,,
IV BOLUS (ml/hr),4,,
IV with BICARB (ml/hr),4,,
IVF (units/hr),4,,
IVF + additives (ml/hr),4,,
IVF Bolus.   (ml/hr),4,,
IVF NaCl 0.45% (ml/hr),4,,
"ivf w k, bicarb 3amps (ml/hr)",4,,
IVF w/ MVI (ml/hr),4,,
ivs (ml/hr),4,,
K phos,4,,
K phos/ KCL IVPB (ml/hr),4,,
Left tPa (ml/hr),4,,
lipid (ml/hr),4,,
LR + 40 mEq (ml/hr),4,,
LR w/ 40mEq K  (ml/hr),4,,
LR#1 (ml/hr),4,,
Magnesium drip (ml/hr),4,,
methylprednisolone (ml/hr),4,methylpredisolone,glucocorticoid
metroNIDAZOLE 500 MG/NS 100 ml (ml/hr),4,,
mg (mg/hr),4,,
mIV (ml/hr),4,,
Mucumyst (ml/hr),4,,
Multi-Vitamin Bag (ml/hr),4,,
NaBicab (ml/hr),4,,
NaCL 3% (ml/hr),4,,
NaHCO (ml/hr),4,,
Naropin (ml/hr),4,,
Non-VasoActive IVF (ml/hr),4,,
NORMAL SALINE,4,,
normal saline,4,,
NS + 20K (ml/hr),4,,
NS Bicarb 150meq,4,,
NS w/ 250meq Bicarb (ml/hr),4,,
NS w/5g Mag sulfate,4,,
NS with additives (ml/hr),4,,
NS with Multivit (ml/hr),4,,
NS/20KCL  (ml/hr),4,,
NS+ 20 mEq KCl (ml/hr),4,,
nss w/ 40meq KCL (ml/hr),4,,
NSS/ anbx (ml/hr),4,,
octagam (ml/hr),4,,
octagam 5 % (ml/hr),4,,
octreotide  (ml/hr),4,,
Other Med 500 mg Sodium Chloride 0.9% 250 ml (mcg/kg/min),4,,
oxytocin,4,,
Pentobarbital (mcg/kg/hr),4,,
Phenylephrine (mg/kg/min),4,,
pitossin (ml/hr),4,,
Potassium (ml/hr),4,,
Potassium Chloride 10Meq/100Ml 100 ml (ml/hr),4,,
PRBC |*----*| (ml/hr),4,,
PRBC'S  (ml/hr),4,,
pRBC's (ml/hr),4,,
RBC,4,,
Reglan (ml/hr),4,,
Rifampin (ml/hr),4,,
ROCURONIUM (mcg/kg/min),4,,
Rocuronium (mg/hr),4,,
Sodium Acetate (ml/hr),4,,
sodium bicarb 150 meq in 1 L D5W (ml/hr),4,,
SODIUM BICARB 1mEq/ml INJ 150 Meq in Dextrose 5% 850 ml (ml/hr),4,,
tPA flush (ml/hr),4,,
TPA flush NS (ml/hr),4,,
Vanco  (ml/hr),4,,
Vanco (ml/hr),4,,
vanco 0.04 mg/ml (ml/hr),4,,
vanco0.40mg/ml (ml/hr),4,,
vancomycin (ml/hr),4,,
Vancomycin Inj 500 mg in Dextrose 5% 100 ml (ml/hr),4,,
VECURONIUM (mcg/kg/min),4,,
Volume (ml) Eptifibatide,4,,
Volume (mL)-sodium chloride 0.9 % bolus 200 mL (ml/hr),4,,
ZOSYN,4,,
 10% Dextrose (ml/hr),5,dextrose-10,iv-sugar
D10 0.45NS w/40K (ml/hr),5,dextrose-10,iv-sugar
D5,5,dextrose-5,iv-sugar
D5 & 150meq Sodium Bicarbonate (ml/hr),5,dextrose-5,iv-sugar
D5 .45NS w/NaHCO3 (ml/hr),5,dextrose-5,iv-sugar
"D5 0,9 NS  (ml/hr)",5,dextrose-5,iv-sugar
d5 0.45%nacl  (ml/hr),5,dextrose-5,iv-sugar
D5 1/2 20KCL (ml/hr),5,dextrose-5,iv-sugar
d5 1/2 ns 20 kcl (ml/hr),5,dextrose-5,iv-sugar
D5 1/2 NS multi vit (ml/hr),5,dextrose-5,iv-sugar
D5 1/2 NS w/40KCl (ml/hr),5,dextrose-5,iv-sugar
D5 1/2 NSS w/ 40mEq KCl (ml/hr),5,dextrose-5,iv-sugar
D5 1/2NS KCL 20 (ml/hr),5,dextrose-5,iv-sugar
D5 1/2NSS w/ 75mEq NAHCO3 (ml/hr),5,dextrose-5,iv-sugar
D5 1/4  (ml/hr),5,dextrose-5,iv-sugar
D5 LR 40K (ml/hr),5,dextrose-5,iv-sugar
D5 w/ 150mEq NaBicarb (ml/hr),5,dextrose-5,iv-sugar
D5 w/ 40 mEq K+ (ml/hr),5,dextrose-5,iv-sugar
D5 w/250meq bicarb (ml/hr),5,dextrose-5,iv-sugar
D5. 0.45 NS with150 mEq NaHCO3 (ml/hr),5,dextrose-5,iv-sugar
"D5.45 w/ folic acid, &thiamine (ml/hr)",5,dextrose-5,iv-sugar
D5.45NS/20KCL (ml/hr),5,dextrose-5,iv-sugar
D5.45NSwith20KCl (ml/hr),5,dextrose-5,iv-sugar
D5/.45NSS (ml/hr),5,dextrose-5,iv-sugar
D5/.9NS w 20meq K (ml/hr),5,dextrose-5,iv-sugar
D5/0.45 w/40 KCL (ml/hr),5,dextrose-5,iv-sugar
D5/LR + MVI (ml/hr),5,dextrose-5,iv-sugar
D5/NA bicarb (ml/hr),5,dextrose-5,iv-sugar
D5/W,5,dextrose-5,iv-sugar
D5+KLC 40meq (ml/hr),5,dextrose-5,iv-sugar
D5LR /w  30 mEq KCL (ml/hr),5,dextrose-5,iv-sugar
