cellpath,celllabel,N,category,group
"flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Intake, TPN/PPN Amount","Intake, TPN/PPN Amount",336,parenteral-intake,nutrition-parenteral
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|TPN,TPN,40444,parenteral-intake,nutrition-parenteral
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|TPN Volume,TPN Volume,633,parenteral-intake,nutrition-parenteral
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Generic Intake (ml)|Volume (mL) TPN,Volume (mL) TPN,10324,parenteral-intake,nutrition-parenteral
flowsheet|Flowsheet Cell Labels|I&O|Weight|Bodyweight (kg),Bodyweight (kg),438834,patientweight-kg,patientweight
flowsheet|Flowsheet Cell Labels|I&O|Weight|Bodyweight (lb),Bodyweight (lb),438755,patientweight-lb,patientweight
flowsheet|Flowsheet Cell Labels|I&O|Dialysis (ml)|In,In,8865,,
flowsheet|Flowsheet Cell Labels|I&O|Dialysis (ml)|Out,Out,29972,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Albumin Intake,Albumin Intake,214,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Blood Products,Blood Products,283,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Cell Saver,Cell Saver,122,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Cryo Infused,Cryo Infused,146,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Cryoprecipitate,Cryoprecipitate,162,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|FFP,FFP,16597,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Mass Transfusion Volume,Mass Transfusion Volume,133,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Other Blood Prod,Other Blood Prod,135,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Platelets,Platelets,8571,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|PRBC,PRBC,135,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|pRBCs,pRBCs,54774,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Volume (ml)-Transfuse - Cryoprecipitate,Volume (ml)-Transfuse - Cryoprecipitate,148,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Volume (ml)-Transfuse - Leukoreduced Packed RBCs,Volume (ml)-Transfuse - Leukoreduced Packed RBCs,1835,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Volume (ml)-Transfuse Cryoprecipitate,Volume (ml)-Transfuse Cryoprecipitate,181,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Volume-Transfuse cryoprecipitate,Volume-Transfuse cryoprecipitate,428,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Volume-Transfuse plasma,Volume-Transfuse plasma,1748,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Volume-Transfuse platelet pheresis,Volume-Transfuse platelet pheresis,1276,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Blood Products (ml)|Volume-Transfuse red blood cells,Volume-Transfuse red blood cells,5841,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Colloids (ml)|25% Albumin,25% Albumin,857,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Colloids (ml)|25% Albumin 100 ml,25% Albumin 100 ml,298,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Colloids (ml)|25% Albumin 50 ml,25% Albumin 50 ml,391,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Colloids (ml)|5% Albumin,5% Albumin,1658,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Colloids (ml)|5% Albumin 500 ml,5% Albumin 500 ml,284,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Colloids (ml)|Colloids Total,Colloids Total,4155,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|0.45 NS ,0.45 NS ,12070,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|0.45 NS  w/100 mEq NaHCO3 1000 ml,0.45 NS  w/100 mEq NaHCO3 1000 ml,194,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|0.45 NS  w/20 mEq KCL,0.45 NS  w/20 mEq KCL,320,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|0.45 NS  w/20 mEq KCL 1000 ml,0.45 NS  w/20 mEq KCL 1000 ml,1203,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|0.45 NS  w/40 mEq KCL,0.45 NS  w/40 mEq KCL,153,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|0.45 NS  w/40 mEq KCL 1000 ml,0.45 NS  w/40 mEq KCL 1000 ml,135,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|0.45 NS  w/75 mEq NaHCO3,0.45 NS  w/75 mEq NaHCO3,156,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|0.45 NS  w/75 mEq NaHCO3 1000 ml,0.45 NS  w/75 mEq NaHCO3 1000 ml,308,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|1.26% Sodium Acetate,1.26% Sodium Acetate,128,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|1.5% NaCl,1.5% NaCl,368,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|1.5% NS,1.5% NS,192,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|1.5% saline,1.5% saline,111,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|1/2 NS,1/2 NS,557,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|3% saline,3% saline,107,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|ABICIXIMAB,ABICIXIMAB,394,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|ABX,ABX,225,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Abx,Abx,104,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Acyclovir,Acyclovir,108,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|albumin,albumin,102,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|A-line Flush,A-line Flush,103,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|a-line/cvp sorensens,a-line/cvp sorensens,339,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|ALTEPLASE,ALTEPLASE,441,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Amicar,Amicar,876,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|amicar,amicar,248,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Amio,Amio,342,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|amio,amio,143,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|amiodarone,amiodarone,6522,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Amiodarone,Amiodarone,876,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Amiodarone (0.45% NS)-IN,Amiodarone (0.45% NS)-IN,123,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Amiodarone-IN,Amiodarone-IN,1452,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|argatroban,argatroban,629,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|ARGATROBAN,ARGATROBAN,2024,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Banana Bag,Banana Bag,1667,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Banana bag,Banana bag,491,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|banana bag,banana bag,547,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|BANANA BAG,BANANA BAG,153,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Bicarb,Bicarb,171,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|bumetanide,bumetanide,3361,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Bumetanide (NS)-IN,Bumetanide (NS)-IN,241,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Bumetanide-IN,Bumetanide-IN,311,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Bupivicaine epidural,Bupivicaine epidural,159,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|C.O/ sorences,C.O/ sorences,191,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|c/sorenson,c/sorenson,147,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Cardene,Cardene,472,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|cardene,cardene,114,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Cardizem,Cardizem,317,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|cardizem,cardizem,205,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|CARDIZEM,CARDIZEM,124,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|CBI/Bladder Irr In,CBI/Bladder Irr In,203,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Cefepime,Cefepime,251,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|chemo,chemo,110,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|cisatracurium,cisatracurium,1923,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|CISATRACURIUM,CISATRACURIUM,4199,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|CO / Sorenson,CO / Sorenson,178,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|CO/Sorensen,CO/Sorensen,247,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|co/sorenson,co/sorenson,199,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|CO/Sorenson,CO/Sorenson,1080,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|CO/Sorensons,CO/Sorensons,338,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|co/sorensons,co/sorensons,113,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|CO/sorensons,CO/sorensons,246,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Continuous infusion meds,Continuous infusion meds,372263,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|CRRT Flush,CRRT Flush,152,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Crystalloid,Crystalloid,829,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Crystalloids,Crystalloids,154667,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|CV Nitroglycerin-IN,CV Nitroglycerin-IN,162,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|CV Norepinephrine 8mg V2-IN,CV Norepinephrine 8mg V2-IN,677,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|CVP,CVP,128,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|CVP Flush,CVP Flush,233,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D 20,D 20,107,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D10,D10,1560,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D10 NS,D10 NS,364,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D10NS,D10NS,811,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D10W,D10W,1070,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5 0.2 NS ,D5 0.2 NS ,104,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5 0.45 NS ,D5 0.45 NS ,16357,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5 0.45 NS  w/10 mEq KCL,D5 0.45 NS  w/10 mEq KCL,101,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5 0.45 NS  w/20 mEq KCL,D5 0.45 NS  w/20 mEq KCL,2179,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5 0.45 NS  w/20 mEq KCL 1000 ml,D5 0.45 NS  w/20 mEq KCL 1000 ml,2629,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5 0.45 NS  w/20 mEq KCL and 10 mmol (as PO4) KPO4,D5 0.45 NS  w/20 mEq KCL and 10 mmol (as PO4) KPO4,231,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5 0.45 NS  w/40 mEq KCL,D5 0.45 NS  w/40 mEq KCL,760,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5 0.45 NS  w/40 mEq KCL 1000 ml,D5 0.45 NS  w/40 mEq KCL 1000 ml,736,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5 0.45 NS  w/75 mEq NaHCO3 1000 ml,D5 0.45 NS  w/75 mEq NaHCO3 1000 ml,161,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5 1/2NS,D5 1/2NS,192,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5 LR ,D5 LR ,3150,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5 NS,D5 NS,189,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5.45NS+KCl,D5.45NS+KCl,170,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5NS,D5NS,127,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5NS ,D5NS ,70149,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5NS  w/150 mEq NaHCO3 1000 ml,D5NS  w/150 mEq NaHCO3 1000 ml,127,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5NS  w/20 mEq KCL,D5NS  w/20 mEq KCL,832,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5NS  w/20 mEq KCL 1000 ml,D5NS  w/20 mEq KCL 1000 ml,1295,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5NS  w/40 mEq KCL,D5NS  w/40 mEq KCL,284,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5NS  w/40 mEq KCL 1000 ml,D5NS  w/40 mEq KCL 1000 ml,629,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5W,D5W,471,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5W ,D5W ,26428,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5W  w/ mEq NaHCO3,D5W  w/ mEq NaHCO3,314,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5W  w/100 mEq NaHCO3 1000 ml,D5W  w/100 mEq NaHCO3 1000 ml,188,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5W  w/150 mEq NaHCO3,D5W  w/150 mEq NaHCO3,1191,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5W  w/150 mEq NaHCO3 1000 ml,D5W  w/150 mEq NaHCO3 1000 ml,2924,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5W  w/20 mEq KCL,D5W  w/20 mEq KCL,521,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5W  w/20 mEq KCL 1000 ml,D5W  w/20 mEq KCL 1000 ml,412,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5W  w/40 mEq KCL,D5W  w/40 mEq KCL,166,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5W  w/40 mEq KCL 1000 ml,D5W  w/40 mEq KCL 1000 ml,368,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5W  w/50 mEq NaHCO3 1000 ml,D5W  w/50 mEq NaHCO3 1000 ml,180,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5W  w/60 mEq KCL 1000 ml,D5W  w/60 mEq KCL 1000 ml,155,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|D5W  w/75 mEq NaHCO3 1000 ml,D5W  w/75 mEq NaHCO3 1000 ml,212,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|dexmedetomidine,dexmedetomidine,13727,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|diltiazem,diltiazem,9731,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Diltiazem (0.45% NS)-IN,Diltiazem (0.45% NS)-IN,139,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Diltiazem-IN,Diltiazem-IN,1004,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|diprivan,diprivan,116,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|epidural,epidural,953,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Epidural,Epidural,1532,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Epidural/PCA,Epidural/PCA,335,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Epinephrine,Epinephrine,261,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|EPINEPHrine,EPINEPHrine,871,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Epinephrine (NS)-IN,Epinephrine (NS)-IN,106,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|epoprostenol,epoprostenol,548,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|eptifibatide,eptifibatide,540,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Eptifibatide V2-IN,Eptifibatide V2-IN,178,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|esmolol,esmolol,520,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Esmolol,Esmolol,108,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Esmolol-IN,Esmolol-IN,197,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Fentanal,Fentanal,140,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|fentanyl,fentanyl,2645,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Fentanyl,Fentanyl,6401,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|fentaNYL,fentaNYL,23390,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|FENTANYL,FENTANYL,260,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Fentanyl ,Fentanyl ,473,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Fentanyl (NS)-IN,Fentanyl (NS)-IN,1534,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|FENTANYL GTT,FENTANYL GTT,555,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Fentanyl gtt,Fentanyl gtt,137,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Fentanyl IV,Fentanyl IV,216,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Fentanyl-IN,Fentanyl-IN,2361,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|flagyl,flagyl,153,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Flagyl,Flagyl,176,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Flush,Flush,126,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|furosemide,furosemide,594,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|HEPARIN,HEPARIN,647,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Heparin,Heparin,2389,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|heparin,heparin,17027,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Heparin ,Heparin ,120,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Heparin (D5W)-IN,Heparin (D5W)-IN,390,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Heparin (NS 0.45%)-IN,Heparin (NS 0.45%)-IN,4114,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Heparin 100 Units-IN,Heparin 100 Units-IN,213,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Heparin Drip,Heparin Drip,116,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|HEPARIN DRIP ,HEPARIN DRIP ,152,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Heparin gtt,Heparin gtt,142,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|HYDROMORPHONE,HYDROMORPHONE,186,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Hypertonic saline 3% ,Hypertonic saline 3% ,2224,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|I.V.,I.V.,538,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|INTAKE,INTAKE,2358,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Intake Variance,Intake Variance,714,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Intake variance,Intake variance,183,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|intake variance,intake variance,155,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|isoproterenol,isoproterenol,183,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|IV Admix,IV Admix,1454,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|IV Antibiotics,IV Antibiotics,3295,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|IV Drips,IV Drips,4594,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|IV Flush,IV Flush,150,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|IV Other,IV Other,6501,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|IVF,IVF,116,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|IVPB,IVPB,39637,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|K Phos,K Phos,431,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|k phos,k phos,128,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|K phos,K phos,138,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|KCL,KCL,271,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Keppra,Keppra,239,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|KETAMINE,KETAMINE,350,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|KPhos,KPhos,1074,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|KPHOS,KPHOS,170,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Kphos,Kphos,312,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|kphos,kphos,216,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|KVO,KVO,315,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Labetalol (NS)-IN,Labetalol (NS)-IN,217,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|LASIX,LASIX,138,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|Levo,Levo,461,,
flowsheet|Flowsheet Cell Labels|I&O|Intake (ml)|Crystalloids (ml)|levo,levo,129,,
