treatmentstring,n,category,group
infectious diseases|cultures / immuno-assays|cultures|surgical specimen,701,,
pulmonary|medications|bronchodilator|metered dose,699,,
infectious diseases|medications|therapeutic antibacterials|third generation cephalosporin,698,,
gastrointestinal|medications|antiemetic|phenothiazine|prochlorperazine,698,,
transplant|medications|immunosuppressive therapy,697,,
infectious diseases|cultures / immuno-assays|cultures|sputum|bacterial,697,,
cardiovascular|hypertension|calcium channel blocker|diltiazem,697,,
endocrine|adrenal disorders|glucocorticoids|dexamethasone,692,,
neurologic|procedures / diagnostics|intracranial/cerebral perfusion pressure monitoring,691,,
cardiovascular|ventricular dysfunction|vasodilator|nifedipine,691,,
cardiovascular|myocardial ischemia / infarction|inotropic agent|norepinephrine > 0.1 micrograms/kg/min,688,,
cardiovascular|hypertension|ACE inhibitor|enalapril,687,,
infectious diseases|medications|therapeutic antibacterials|directed antibacterial therapy,687,,
pulmonary|ventilation and oxygenation|oxygen therapy (> 60%)|60-70%,685,,
hematology|red blood cell disorders|darbepoetin alfa,683,,
hematology|oncological issues|allopurinol,681,,
cardiovascular|arrhythmias|anticoagulant administration|conventional heparin therapy,680,,
general|support services|pastoral services consult,676,,
surgery|analgesics /sedatives/ nmbs|sedative agent|midazolam,675,,
neurologic|pain / agitation / altered mentation|systemic glucocorticoid,674,,
cardiovascular|arrhythmias|cardioversion|electrical,672,,
renal|intravenous fluid|hypotonic fluid administration|D5 half-normal saline,672,,
cardiovascular|arrhythmias|adenosine,672,,
cardiovascular|myocardial ischemia / infarction|inotropic agent|norepinephrine <= 0.1 micrograms/kg/min,670,,
neurologic|ICH/ cerebral infarct|anticonvulsants,669,,
renal|procedures/radiology|cystoscopy,668,,
cardiovascular|other therapies|antibacterials|first generation cephalosporin|cefazolin,668,,
cardiovascular|ventricular dysfunction|beta blocker,666,,
surgery|cardiac therapies|nitroglycerin,666,,
endocrine|thyroid disorder|thyroid hormone|injection,665,,
infectious diseases|cultures / immuno-assays|cultures|sputum|AFB,663,,
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|low molecular weight heparin,658,,
hematology|coagulation and platelets|anticoagulant administration|conventional heparin therapy|intravenous,658,,
pulmonary|ventilation and oxygenation|oxygen therapy (> 60%)|70-80%,658,,
infectious diseases|medications|anti-protozoal therapy|for malaria|doxycycline,656,,
neurologic|pain / agitation / altered mentation|analgesics|non-narcotic analgesic|ibuprofen,654,,
cardiovascular|ventricular dysfunction|inotropic agent|dopamine  5-15 micrograms/kg/min,649,,
renal|intravenous fluid|hypotonic fluid administration|D5W,649,,
neurologic|therapy for controlling cerebral perfusion pressure|antihypertensive drug,649,,
pulmonary|radiologic procedures / bronchoscopy|angiography|pulmonary angiogram,646,,
pulmonary|medications|anticoagulant administration|low molecular weight heparin|enoxaparin,644,,
burns/trauma|trauma|splinting,643,,
gastrointestinal|intravenous fluid administration|normal saline administration|moderate volume resuscitation (150-250 mls/hr),642,,
cardiovascular|other therapies|antibacterials|third generation cephalosporin|ceftriaxone,637,,
cardiovascular|ventricular dysfunction|beta blocker|carvedilol,635,,
renal|dialysis|peritoneal dialysis,634,,
renal|medications|systemic antibiotics,633,,
surgery|pulmonary therapies|oxygen therapy (< 40%)|nasal cannula,631,,
cardiovascular|cardiac surgery|CABG and valve|routine,631,,
burns/trauma|trauma|external fixation device,625,,
cardiovascular|hypertension|alpha/beta blocker,622,,
gastrointestinal|endoscopy/gastric instrumentation|esophagogastroduodenoscopy|with banding,622,,
neurologic|seizure therapy|anticonvulsant|phenobarbital,620,,
pulmonary|ventilation and oxygenation|CPAP/PEEP therapy|reduce PEEP as tolerated,616,,
cardiovascular|other therapies|antibacterials|quinolone|levofloxacin,611,,
neurologic|ICH/ cerebral infarct|anticoagulant administration,609,,
neurologic|neuromyopathy therapy|systemic glucocorticoid,607,,
burns/trauma|trauma|internal fixation,603,,
pulmonary|ventilation and oxygenation|mechanical ventilation|non-invasive ventilation|face mask,603,,
pulmonary|surgery / incision and drainage of thorax|tracheostomy|conventional,601,,
cardiovascular|ventricular dysfunction|inotropic agent|digoxin,597,,
surgery|cardiac therapies|vasopressors,596,,
toxicology|drug overdose|agent specific therapy|acetaminophen overdose|n-acetylcysteine,591,,
infectious diseases|medications|therapeutic antibacterials|sulfonamide|trimethoprim-sulfamethoxazole,586,,
neurologic|pain / agitation / altered mentation|SSRI administration|paroxetine (Paxil),584,,
pulmonary|ventilation and oxygenation|mechanical ventilation|tidal volume < 6 ml/kg,581,,
toxicology|drug overdose|drug levels|serum drug levels,581,,
gastrointestinal|intravenous fluid administration|normal saline administration|aggressive volume resuscitation (>250 mls/hr),577,,
pulmonary|medications|vasodilator for pulmonary hypertension,574,,
gastrointestinal|endoscopy/gastric instrumentation|ERCP,572,,
surgery|wounds / temperature|active warming,572,,
cardiovascular|ventricular dysfunction|ACE inhibitor|lisinopril,571,,
neurologic|ICH/ cerebral infarct|angiogram,568,,
neurologic|therapy for controlling cerebral perfusion pressure|neuromuscular blocking agent|cisatracurium,566,,
surgery|analgesics /sedatives/ nmbs|sedative agent|dexmedetomidine,566,,
infectious diseases|medications|antifungal therapy|therapeutic,565,,
cardiovascular|hypertension|beta blocker|esmolol,564,,
cardiovascular|vascular disorders|angiography,557,,
infectious diseases|cultures / immuno-assays|cultures|peritoneal fluid,552,,
cardiovascular|intravenous fluid|colloid administration,547,,
neurologic|pain / agitation / altered mentation|baclofen,547,,
surgery|intravenous fluids / electrolytes|normal saline administration|fluid bolus (250-1000mls),547,,
pulmonary|medications|antibacterials|carbapenem|meropenem,542,,
cardiovascular|arrhythmias|cardioversion,541,,
pulmonary|medications|bronchodilator|leukotriene receptor antagonists|montelukast (Singulair),538,,
renal|procedures/radiology|insertion of venous catheter for hemodialysis|percutaneous catheter,537,,
cardiovascular|ventricular dysfunction|inotropic agent|norepinephrine > 0.1 micrograms/kg/min,537,,
surgery|cardiac therapies|inotropic agent|milrinone,536,,
cardiovascular|arrhythmias|electrolyte administration|phosphate,534,,
neurologic|ICH/ cerebral infarct|anticoagulant administration|conventional heparin therapy|intravenous,530,,
renal|electrolyte correction|vitamin D administration,530,,
surgery|infection|therapeutic antibacterials|vancomycin,528,,
cardiovascular|cardiac surgery|CABG|emergent,528,,
infectious diseases|medications|therapeutic antibacterials|fourth generation cephalosporin,526,,
neurologic|neuromyopathy therapy|systemic glucocorticoid|prednisone,526,,
surgery|cardiac therapies|nitroglycerin|intravenous,525,,
burns/trauma|trauma|splinting|stabilizing appliance,524,,
cardiovascular|hypertension|analgesics,521,,
neurologic|neuromyopathy therapy|systemic glucocorticoid|parenteral,520,,
cardiovascular|myocardial ischemia / infarction|inotropic agent|dopamine  5-15 micrograms/kg/min,520,,
burns/trauma|trauma|splinting|orthopedic immobilizer,518,,
cardiovascular|hypertension|analgesics|narcotic analgesic,517,,
cardiovascular|non-operative procedures|intraaortic balloon pump removal,514,,
infectious diseases|medications|prophylactic antibacterials|for surgery,513,,
infectious diseases|procedures|surgical debridement|in OR,513,,
pulmonary|medications|neuromuscular blocking agent,512,,
"gastrointestinal|radiology, diagnostic and procedures|angiography",508,,
renal|electrolyte correction|treatment of hypernatremia|desmopressin,507,,
cardiovascular|shock|inotropic agent|epinephrine <= 0.1 micrograms/kg/min,505,,
"surgery|pulmonary therapies|bronchodilator|beta-agonist|albuterol (Proventil, Ventolin)",505,,
surgery|pulmonary therapies|tracheal suctioning,504,,
cardiovascular|hypertension|angiotensin II receptor blocker (ARB),504,,
neurologic|ICH/ cerebral infarct|antiplatelet agents,504,,
toxicology|drug overdose|Psychiatry consultation|suicide precautions,502,,
burns/trauma|skin care|surgical debridement,501,,
cardiovascular|ventricular dysfunction|vasodilator|nitroprusside,499,,
surgery|tubes and catheters|feeding tube|oral gastric,498,,
infectious diseases|medications|therapeutic antibacterials|quinolone,498,,
renal|electrolyte correction|treatment of hyponatremia,498,,
surgery|intravenous fluids / electrolytes|blood product administration|packed red blood cells,494,,
neurologic|therapy for controlling cerebral perfusion pressure|sedative agent|propofol,493,,
neurologic|ICH/ cerebral infarct|surgery|craniotomy for drainage of intracranial hematoma,493,,
pulmonary|radiologic procedures / bronchoscopy|non-invasive testing for DVT,491,,
gastrointestinal|intravenous fluid administration|blood product administration|platelet concentrate,491,,
renal|intravenous fluid|hypotonic fluid administration,491,,
gastrointestinal|medications|laxatives|enema,487,,
cardiovascular|ventricular dysfunction|inotropic agent,486,,
infectious diseases|medications|antiretrovirals (HIV),486,,
"cardiovascular|non-operative procedures|non-cardiac angiography|angiography of arteries of extremities, bilateral",485,,
cardiovascular|myocardial ischemia / infarction|nitroglycerin|oral,483,,
pulmonary|vascular disorders|anticoagulant administration|conventional heparin therapy|intravenous,479,,
cardiovascular|non-operative procedures|non-cardiac angiography,478,,
hematology|red blood cell disorders|ferrous iron compound|iron sucrose,477,,
cardiovascular|shock|inotropic agent|epinephrine > 0.1 micrograms/kg/min,477,,
cardiovascular|non-operative procedures|implantation of heart pacemaker,475,,
burns/trauma|trauma|CT scan|without contrast,474,,
neurologic|pain / agitation / altered mentation|antidepressant|vanafaxine (Effexor),474,,
infectious diseases|medications|therapeutic antibacterials|aminoglycoside|gentamicin,472,,
neurologic|pain / agitation / altered mentation|antidepressant|amitriptyline,471,,
toxicology|drug overdose|mechanical ventilation,468,,
surgery|intravenous fluids / electrolytes|hypotonic fluid administration,468,,
cardiovascular|arrhythmias|beta blocker|atenolol,467,,
cardiovascular|cardiac surgery|implantation of heart pacemaker - permanent,464,,
pulmonary|medications|glucocorticoid administration|stress doses,462,,
neurologic|ICH/ cerebral infarct|thrombolytics,462,,
pulmonary|vascular disorders|IVC filter,461,,
renal|medications|oral diuretic|spironolactone,461,,
gastrointestinal|medications|analgesics|non-narcotic analgesic|acetaminophen,461,,
neurologic|pain / agitation / altered mentation|antidepressant|bupropion (Wellbutrin),459,,
pulmonary|ventilation and oxygenation|non-invasive ventilation|nasal mask,458,,
cardiovascular|myocardial ischemia / infarction|alpha/beta blocker,457,,
cardiovascular|ventricular dysfunction|inotropic agent|epinephrine <= 0.1 micrograms/kg/min,456,,
infectious diseases|medications|therapeutic antibacterials|penicillins|piperacillin,454,,
cardiovascular|arrhythmias|antiarrhythmics|class II antiarrhythmic|esmolol,452,,
pulmonary|ventilation and oxygenation|CPAP/PEEP therapy|titrate PEEP,451,,
pulmonary|medications|antibacterials|metronidazole,450,,
pulmonary|vascular disorders|non-invasive testing for DVT,449,,
cardiovascular|arrhythmias|antiarrhythmics|class III antiarrhythmic,449,,
neurologic|procedures / diagnostics|neurosurgery|drainage of hematoma-burr hole,448,,
surgery|pulmonary therapies|CPAP/PEEP therapy,448,,
cardiovascular|hypertension|angiotensin II receptor blocker (ARB)|valsartan,448,,
hematology|coagulation and platelets|DDAVP injection,448,,
cardiovascular|other therapies|antibacterials|penicillins|piperacillin,445,,
cardiovascular|intravenous fluid|Lactated Ringer's administration|moderate volume resuscitation (150-250 mls/hr),442,,
cardiovascular|intravenous fluid|hypertonic saline administration,440,,
surgery|intravenous fluids / electrolytes|hypotonic fluid administration|D5 half-normal saline,438,,
renal|electrolyte correction|treatment of hyperkalemia|beta-agonist nebulized treatment,437,,
surgery|analgesics /sedatives/ nmbs|analgesics|neuraxial analgesics,437,,
surgery|intravenous fluids / electrolytes|blood product administration|packed red blood cells|transfusion of > 2 units prbc's,436,,
renal|medications|acetazolamide,436,,
endocrine|intravenous fluid administration|normal saline administration|moderate volume resuscitation (150-250 mls/hr),436,,
cardiovascular|arrhythmias|overdrive pacing,430,,
burns/trauma|trauma|dressing change,430,,
infectious diseases|medications|therapeutic antibacterials|penicillins|ampicillin,430,,
neurologic|ICH/ cerebral infarct|anticoagulant administration|conventional heparin therapy|subcutaneous,430,,
infectious diseases|medications|therapeutic antibacterials|penicillins|nafcillin,430,,
gastrointestinal|nutrition|parenteral feeds,429,parenteral-intake,nutrition-parenteral
cardiovascular|arrhythmias|cardiac defibrillation,428,,
cardiovascular|myocardial ischemia / infarction|inotropic agent|digoxin,427,,
neurologic|seizure therapy|anticonvulsant|lamotrigine,425,,
toxicology|drug overdose|drug removal measures,424,,
infectious diseases|medications|therapeutic antibacterials|daptomycin,423,,
pulmonary|medications|anticoagulant administration|conventional heparin therapy|subcutaneous,420,,
renal|medications|oral diuretic,419,,
pulmonary|medications|antifungal therapy|fluconazole,419,,
renal|intravenous fluid|hypotonic fluid administration|half-normal saline solution,416,,
pulmonary|medications|antibacterials|penicillins,415,,
gastrointestinal|medications|antibiotics|penicillins,414,,
cardiovascular|ventricular dysfunction|inotropic agent|norepinephrine <= 0.1 micrograms/kg/min,411,,
infectious diseases|cultures / immuno-assays|cultures|sputum|fungal,410,,
gastrointestinal|endoscopy/gastric instrumentation|esophagogastroduodenoscopy|with chemocautery,410,,
infectious diseases|cultures / immuno-assays|cultures|pleural fluid,408,,
pulmonary|medications|antibacterials|quinolone|ciprofloxacin,406,,
cardiovascular|non-operative procedures|AICD placement,404,,
infectious diseases|procedures|drainage procedure - percutaneous,404,,
cardiovascular|arrhythmias|catheter ablation of lesion of heart,403,,
surgery|intravenous fluids / electrolytes|blood product administration|fresh frozen plasma,401,,
surgery|infection|therapeutic antibacterials|penicillins|piperacillin/tazobactam,398,,
infectious diseases|medications|systemic glucocorticoid|parenteral,398,,
gastrointestinal|medications|stress ulcer treatment|sucralfate,398,,
pulmonary|ventilation and oxygenation|prone position,397,,
cardiovascular|vascular disorders|CT scan,397,,
hematology|coagulation and platelets|anticoagulant administration|low molecular weight heparin|enoxaparin,397,,
pulmonary|ventilation and oxygenation|CPAP/PEEP therapy|> 15 cm H2O,393,,
cardiovascular|non-operative procedures|cardioversion|electrical,393,,
infectious diseases|medications|antiviral therapy|ganciclovir,392,,
gastrointestinal|medications|analgesics|oral analgesics,391,,
surgery|cardiac therapies|vasopressors|norepinephrine > 0.1 micrograms/kg/min,390,,
pulmonary|medications|inhaled medications for cystic fibrosis|inhaled n-acetylcysteine,388,,
hematology|coagulation and platelets|anticoagulant administration|coumadin,387,,
infectious diseases|cultures / immuno-assays|cultures|blood|drawn from central line,387,,
surgery|tubes and catheters|surgical drains|biliary,384,,
renal|intravenous fluid|hypertonic saline administration,383,,
"gastrointestinal|radiology, diagnostic and procedures|abscess drainage procedure|percutaneous",383,,
cardiovascular|myocardial ischemia / infarction|inotropic agent|epinephrine > 0.1 micrograms/kg/min,381,,
oncology|medications|allopurinol,381,,
endocrine|adrenal disorders|glucocorticoids,381,,
cardiovascular|myocardial ischemia / infarction|angiotensin II receptor blocker (ARB)|losartan,379,,
cardiovascular|ventricular dysfunction|oral diuretic|thiazides,379,,
gastrointestinal|endoscopy/gastric instrumentation|esophagogastroduodenoscopy|with PEG insertion,377,,
surgery|tubes and catheters|feeding tube,377,,
hematology|coagulation and platelets|anticoagulant administration|conventional heparin therapy|subcutaneous,376,,
infectious diseases|medications|prophylactic antibacterials|for transplant/HIV|trimethoprim-sulfamethoxazole,376,,
renal|medications|n-acetylcysteine,375,,
neurologic|therapy for controlling cerebral perfusion pressure|vasopressors|norepinephrine <= 0.1 micrograms/kg/min,374,,
gastrointestinal|endoscopy/gastric instrumentation|feeding tube|jejunal,374,,
neurologic|ICH/ cerebral infarct|anticonvulsants|phenytoin,374,,
pulmonary|radiologic procedures / bronchoscopy|angiography,371,,
surgery|cardiac therapies|inotropic agent|dobutamine,371,,
infectious diseases|procedures|drainage procedure - surgical,370,,
endocrine|electrolyte correction|treatment of hyperkalemia|insulin / glucose,369,insulin,insulin/dextrose
neurologic|procedures / diagnostics|angiogram|with stenting,368,,
infectious diseases|cultures / immuno-assays|cultures|BAL/PBS,366,,
infectious diseases|medications|antifungal therapy|voriconazole,363,,
cardiovascular|other therapies|systemic glucocorticoid,363,,
cardiovascular|shock|pulmonary artery catheter placement,363,,
cardiovascular|vascular surgery|amputation,362,,
surgery|intravenous fluids / electrolytes|blood product administration,362,,
surgery|consultations|Plastic surgery consultation,360,,
cardiovascular|other therapies|antibacterials|macrolide|azithromycin,360,,
surgery|intravenous fluids / electrolytes|colloid administration|albumin,358,,
surgery|tubes and catheters|nasogastric tube|insertion,358,,
cardiovascular|hypertension|ACE inhibitor|enalapril|IV,358,,
renal|electrolyte correction|treatment of hyperkalemia|intravenous diuretics,357,,
cardiovascular|myocardial ischemia / infarction|inotropic agent|epinephrine <= 0.1 micrograms/kg/min,357,,
pulmonary|surgery / incision and drainage of thorax|decortication,356,,
surgery|cardiac therapies|vasopressors|vasopressin,356,,
cardiovascular|intravenous fluid|Lactated Ringer's administration|aggressive volume resuscitation (>250 mls/hr),355,,
pulmonary|surgery / incision and drainage of thorax|insertion of thoracostomy tube|for drainage of empyema,355,,
"gastrointestinal|radiology, diagnostic and procedures|nuclear biliary scan",355,,
surgery|infection|prophylactic antibacterials|for surgery|vancomycin,355,,
surgery|analgesics /sedatives/ nmbs|analgesics|non-narcotic analgesic|ketorolac,354,,
hematology|coagulation and platelets|anticoagulant administration,354,,
pulmonary|medications|antibacterials|quinolone,354,,
cardiovascular|shock|blood product administration|platelet concentrate,352,,
surgery|infection|therapeutic antibacterials|second generation cephalosporin|cefuroxime,352,,
cardiovascular|myocardial ischemia / infarction|thrombolytic therapy|alteplase,349,,
endocrine|electrolyte correction|treatment of hyperkalemia|kayexalate,349,,
neurologic|therapy for controlling cerebral perfusion pressure|vasopressors|norepinephrine > 0.1 micrograms/kg/min,348,,
pulmonary|surgery / incision and drainage of thorax|thoracoscopic procedure,348,,
hematology|coagulation and platelets|blood product administration|cryoprecipitate,348,,
neurologic|procedures / diagnostics|neurosurgery|drainage of hematoma-craniotomy,347,,
gastrointestinal|endoscopy/gastric instrumentation|feeding tube|gastrostomy,347,,
surgery|cardiac therapies|vasopressors|norepinephrine <= 0.1 micrograms/kg/min,347,,
cardiovascular|myocardial ischemia / infarction|inotropic agent|dopamine <= 5 micrograms/kg/min,346,,
renal|medications|erythropoietin,345,,
transplant|consultations|Infectious Disease consultation,345,,
infectious diseases|medications|antifungal therapy|caspofungin,345,,
renal|dialysis|peritoneal dialysis|for chronic renal failure,344,,
oncology|medications|analgesics,342,,
infectious diseases|cultures / immuno-assays|hepatitis screen,340,,
pulmonary|ventilation and oxygenation|mechanical ventilation|permissive hypercapnea,340,,
surgery|tubes and catheters|suprapubic catheter|permanent,340,,
cardiovascular|other therapies|antibacterials|carbapenem|meropenem,338,,
pulmonary|surgery / incision and drainage of thorax|tracheostomy|performed during current admission for Head and Neck surgery,336,,
infectious diseases|procedures|CT scan|pelvis,333,,
cardiovascular|shock|diagnostic ultrasound of heart|transthoracic echocardiography,333,,
pulmonary|radiologic procedures / bronchoscopy|bronchoscopy|with brushings,332,,
surgery|analgesics /sedatives/ nmbs|sedative agent|lorazepam,331,,
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|HMG-CoA reductase inhibitor|lovastatin,329,,
renal|intravenous fluid|colloid administration,326,,
pulmonary|medications|neuromuscular blocking agent|vecuronium,325,,
gastrointestinal|medications|hormonal therapy (for varices),324,,
burns/trauma|burns|analgesics,323,,
"gastrointestinal|radiology, diagnostic and procedures|angiography|arteriography",322,,
pulmonary|medications|antibacterials|linezolid (Zyvox),321,,
infectious diseases|procedures|CT scan|abdomen,321,,
gastrointestinal|medications|stress ulcer treatment|pantoprazole|oral,321,,
toxicology|drug overdose|drug removal measures|activated charcoal,321,,
neurologic|therapy for controlling cerebral perfusion pressure|vasopressors|phenylephrine (Neosynephrine),321,,
hematology|red blood cell disorders|erythropoietin,320,,
neurologic|ICH/ cerebral infarct|angiogram|with coiling,317,,
cardiovascular|other therapies|antibacterials|fourth generation cephalosporin|cefepime,315,,
cardiovascular|myocardial ischemia / infarction|anticoagulant administration|thrombin inhibitor|bivalirudin,314,,
pulmonary|medications|antibacterials|first generation cephalosporin|cefazolin,314,,
cardiovascular|myocardial ischemia / infarction|calcium channel blocker|diltiazem,312,,
pulmonary|surgery / incision and drainage of thorax|thoracoscopic procedure|decortication,311,,
neurologic|ICH/ cerebral infarct|anticonvulsants|midazolam,311,,
pulmonary|surgery / incision and drainage of thorax|tracheostomy|consider,309,,
endocrine|electrolyte correction|treatment of hyperkalemia|intravenous calcium,308,,
renal|electrolyte correction|treatment of hyponatremia|hypertonic fluid,308,,
gastrointestinal|endoscopy/gastric instrumentation|nasogastric tube|with irrigation,307,,
"infectious diseases|cultures / immuno-assays|cultures|BAL/PBS|comprehensive (bacterial, viral, fungal, afb, etc.",307,,
transplant|consultations|Nephrology consultation,307,,
infectious diseases|procedures|surgical debridement,306,,
toxicology|drug overdose|endotracheal tube,304,,
neurologic|therapy for controlling cerebral perfusion pressure|sedative agent|lorazepam,303,,
pulmonary|medications|antibacterials|monobactam|aztreonam,303,,
pulmonary|medications|anticoagulant administration|conventional heparin therapy,301,,
neurologic|neuromyopathy therapy|IVIG administration,299,,
renal|electrolyte correction|treatment of hypernatremia|hypotonic fluid,299,,
cardiovascular|myocardial ischemia / infarction|inotropic agent,298,,
cardiovascular|arrhythmias|beta blocker|esmolol,298,,
gastrointestinal|medications|analgesics|PCA,297,,
surgery|analgesics /sedatives/ nmbs|analgesics|non-narcotic analgesic,297,,
infectious diseases|medications|therapeutic antibacterials|macrolide,296,,
cardiovascular|hypertension|analgesics|non-narcotic analgesic|acetaminophen,296,,
gastrointestinal|nutrition|feeding tube|jejunal,296,enteral-nonspecific-intake,nutrition-enteral
cardiovascular|arrhythmias|antiarrhythmics|class IV antiarrhythmic,294,,
cardiovascular|other therapies|antibacterials|metronidazole,290,,
burns/trauma|trauma|fasciotomy,289,,
neurologic|seizure therapy|anticonvulsant|midazolam,289,,
infectious diseases|procedures|CT scan,288,,
surgery|intravenous fluids / electrolytes|normal saline administration|moderate volume resuscitation (150-250 mls/hr),288,,
neurologic|seizure therapy|anticonvulsant|carbamazepine,288,,
infectious diseases|medications|therapeutic antibacterials|second generation cephalosporin|cefuroxime,287,,
neurologic|ICH/ cerebral infarct|anticoagulant administration|conventional heparin therapy,282,,
neurologic|procedures / diagnostics|neurosurgery|laminectomy|cervical,282,,
gastrointestinal|nutrition|feeding tube|gastrostomy,282,enteral-nonspecific-intake,nutrition-enteral
surgery|infection|cultures|blood,282,,
cardiovascular|hypertension|sedative agent|propofol,282,,
neurologic|pain / agitation / altered mentation|systemic glucocorticoid|prednisone,281,,
cardiovascular|non-operative procedures|cardioversion,281,,
pulmonary|surgery / incision and drainage of thorax|thoracoscopic procedure|wedge resection,281,,
gastrointestinal|medications|laxatives|glycerin,281,,
gastrointestinal|medications|antidiarrhea agent|loperamide,280,,
surgery|intravenous fluids / electrolytes|blood product administration|packed red blood cells|transfusion of 1-2 units prbc's,280,,
neurologic|procedures / diagnostics|neurosurgery|laminectomy|lumbar,280,,
neurologic|therapy for controlling cerebral perfusion pressure|vasopressors|dopamine 5-15 micrograms/kg/min,277,,
infectious diseases|cultures / immuno-assays|HIV serology,277,,
renal|dialysis|ultrafiltration (fluid removal only),277,,
renal|urinary catheters|nephrostomy|left,276,,
toxicology|drug overdose|agent specific therapy,276,,
cardiovascular|vascular surgery|embolectomy,276,,
surgery|cardiac therapies|vasodilator|nicardipine,276,,
burns/trauma|burns|anesthetics|ketamine,275,,
surgery|cardiac therapies|vasopressors|dopamine  5-15 micrograms/kg/min,274,,
cardiovascular|ventricular dysfunction|inotropic agent|epinephrine > 0.1 micrograms/kg/min,274,,
oncology|medications|systemic glucocorticoid,273,,
neurologic|procedures / diagnostics|neurosurgery|clipping of aneurysm(s),271,,
burns/trauma|trauma|CT scan|with contrast,270,,
cardiovascular|myocardial ischemia / infarction|antihyperlipidemic agent|fenofibrate,270,,
endocrine|glucose metabolism|glucose|D5W,269,,
surgery|intravenous fluids / electrolytes|colloid administration,268,,
renal|intravenous fluid|Lactated Ringer's administration|fluid bolus (250-1000mls),267,,
infectious diseases|medications|therapeutic antibacterials|carbapenem,267,,
endocrine|glucose metabolism|glucose|juice or other oral glucose administration,267,,
gastrointestinal|intravenous fluid administration|hypotonic fluid administration|D5 half-normal saline,266,,
renal|medications|systemic antibiotics|vancomycin,266,,
renal|urinary catheters|nephrostomy|right,265,,
infectious diseases|medications|therapeutic antibacterials|aminoglycoside|tobramycin,265,,
gastrointestinal|nutrition|parenteral feeds|PPN,265,enteral-nonspecific-intake,nutrition-enteral
renal|urinary catheters|suprapubic catheter,264,,
gastrointestinal|endoscopy/gastric instrumentation|feeding tube|surgically placed,264,,
neurologic|procedures / diagnostics|neurosurgery|ventricular shunt procedure,264,,
infectious diseases|medications|therapeutic antibacterials|cephalosporin,263,,
endocrine|adrenal disorders|mineralocorticoids|fludrocortisone,262,,
cardiovascular|ventricular dysfunction|ACE inhibitor,262,,
cardiovascular|myocardial ischemia / infarction|beta blocker|atenolol,261,,
infectious diseases|procedures|CT scan|chest,261,,
renal|electrolyte correction|treatment of hyperkalemia|dialysis,260,,
neurologic|ICH/ cerebral infarct|angiogram|with embolization,259,,
oncology|procedures|surgical debulking for cancer,258,,
pulmonary|vascular disorders|VTE prophylaxis|factor Xa Inhibitor|fondaparinux,258,,
renal|medications|systemic antibiotics|cephalosporin,258,,
surgery|infection|cultures,257,,
surgery|GI therapies|stress ulcer treatment|proton pump inhibitor|pantoprazole IV,257,,
surgery|cardiac therapies|inotropic agent,257,,
endocrine|electrolyte correction|treatment of hyponatremia,256,,
gastrointestinal|medications|prokinetic agent,256,,
gastrointestinal|medications|diuretic|furosemide,255,,
endocrine|thyroid disorder|glucocorticoids|methylprednisolone,254,,
neurologic|neuromyopathy therapy|vitamin B complex preparation,254,,
infectious diseases|cultures / immuno-assays|cultures|catheter tip,254,,
surgery|pulmonary therapies|mechanical ventilation|assist controlled,253,,
neurologic|pain / agitation / altered mentation|narcotic antagonist,252,,
endocrine|electrolyte correction|treatment of hyperkalemia,252,,
hematology|white blood cell disorders|hematopoetic growth factors|filgrastim (Neupogen),251,,
pulmonary|medications|antibacterials|clindamycin,251,,
gastrointestinal|medications|antibiotics|cephalosporin,250,,
gastrointestinal|intravenous fluid administration|colloid administration|albumin,250,,
pulmonary|medications|antibacterials|cephalosporin,250,,
neurologic|procedures / diagnostics|neurosurgery|hemicraniectomy,250,,
pulmonary|surgery / incision and drainage of thorax|thoracoscopic procedure|lung tissue biopsy,249,,
endocrine|intravenous fluid administration|hypotonic fluid administration|D5 half-normal saline,249,,
endocrine|electrolyte correction|treatment of hypernatremia|free water administration,247,,
pulmonary|medications|antifungal therapy,246,,
hematology|coagulation and platelets|IVC filter,246,,
surgery|exploratory surgery|exploratory laparoscopy,244,,
cardiovascular|shock|thoracostomy tube,244,,
gastrointestinal|nutrition|feeding tube|surgically placed,241,enteral-nonspecific-intake,nutrition-enteral
gastrointestinal|endoscopy/gastric instrumentation|esophagogastroduodenoscopy|with biopsy,240,,
neurologic|pain / agitation / altered mentation|systemic glucocorticoid|parenteral,240,,
renal|electrolyte correction|treatment of hypernatremia,238,,
surgery|cardiac therapies|beta blocker,237,,
cardiovascular|non-operative procedures|defibrillation,236,,
infectious diseases|cultures / immuno-assays|cultures|biopsy material,236,,
neurologic|pain / agitation / altered mentation|flumazenil,236,,
hematology|coagulation and platelets|anticoagulant administration|thrombin inhibitors|argatroban,236,,
pulmonary|vascular disorders|anticoagulant administration|low molecular weight heparin|enoxaparin,233,,
pulmonary|surgery / incision and drainage of thorax|pulmonary resection|lobectomy,233,,
infectious diseases|medications|therapeutic antibacterials|rifampin,232,,
burns/trauma|burns|analgesics|narcotic analgesic,231,,
surgery|pulmonary therapies|ventilator weaning|rapid,230,,
surgery|infection|therapeutic antibacterials|third generation cephalosporin|ceftriaxone,229,,
surgery|pulmonary therapies|oxygen therapy (< 40%),229,,
cardiovascular|myocardial ischemia / infarction|glycoprotein IIB/IIIA inhibitor,229,,
